Group,Subgroup,Language,State,Speakers,Margin of Error (Number of Speakers),"Speak English less than ""Very Well""",Margin of Error (Speak English Less than Very Well)
ENGLISH,English,English,North Dakota,610268,1260,,
SPANISH AND SPANISH CREOLE,Spanish and Spanish Creole,Spanish,North Dakota,9190,582,2015,325
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",French,North Dakota,895,177,195,90
OTHER INDO-EUROPEAN LANGUAGES,French Creole,French Creole,North Dakota,40,30,35,28
OTHER INDO-EUROPEAN LANGUAGES,Italian,Italian,North Dakota,246,145,16,25
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Portuguese,North Dakota,160,88,30,22
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),German,North Dakota,8540,586,1610,204
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Pennsylvania Dutch,North Dakota,40,39,,
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Dutch,North Dakota,30,32,,
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Afrikaans,North Dakota,80,55,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Swedish,North Dakota,100,63,10,11
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Danish,North Dakota,50,30,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Norwegian,North Dakota,1425,203,170,52
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Icelandic,North Dakota,95,50,,
OTHER INDO-EUROPEAN LANGUAGES,Greek,Greek,North Dakota,96,86,24,27
OTHER INDO-EUROPEAN LANGUAGES,Russian,Russian,North Dakota,746,295,306,139
OTHER INDO-EUROPEAN LANGUAGES,Polish,Polish,North Dakota,185,80,21,13
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbocroatian,North Dakota,560,303,140,93
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Croatian,North Dakota,80,83,55,61
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbian,North Dakota,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Ukrainian,North Dakota,170,66,20,16
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Czech,North Dakota,490,160,160,142
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovak,North Dakota,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bulgarian,North Dakota,85,116,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Macedonian,North Dakota,,,,
OTHER INDO-EUROPEAN LANGUAGES,Persian,Persian,North Dakota,46,37,35,34
OTHER INDO-EUROPEAN LANGUAGES,Hindi,Hindi,North Dakota,262,149,44,47
OTHER INDO-EUROPEAN LANGUAGES,Gujarati,Gujarati,North Dakota,79,67,35,34
OTHER INDO-EUROPEAN LANGUAGES,Urdu,Urdu,North Dakota,196,181,7,12
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,India,North Dakota,20,22,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bengali,North Dakota,100,105,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Panjabi,North Dakota,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Marathi,North Dakota,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Nepali,North Dakota,260,157,190,155
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sinhalese,North Dakota,240,222,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Krio,North Dakota,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Hawaiian Pidgin,North Dakota,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Romanian,North Dakota,50,36,25,24
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Irish Gaelic,North Dakota,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Albanian,North Dakota,35,54,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Lithuanian,North Dakota,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Kurdish,North Dakota,45,48,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Chinese,North Dakota,1060,252,755,216
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Cantonese,North Dakota,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Mandarin,North Dakota,55,57,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Japanese,Japanese,North Dakota,391,184,225,146
ASIAN AND PACIFIC ISLAND LANGUAGES,Korean,Korean,North Dakota,238,105,134,77
ASIAN AND PACIFIC ISLAND LANGUAGES,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian",North Dakota,53,79,28,42
ASIAN AND PACIFIC ISLAND LANGUAGES,Hmong,Hmong,North Dakota,11,17,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Thai,Thai,North Dakota,130,80,52,60
ASIAN AND PACIFIC ISLAND LANGUAGES,Laotian,Laotian,North Dakota,46,41,4,6
ASIAN AND PACIFIC ISLAND LANGUAGES,Vietnamese,Vietnamese,North Dakota,819,300,506,200
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkish,North Dakota,125,77,45,41
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Mongolian,North Dakota,15,14,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Telugu,North Dakota,170,116,55,59
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Malayalam,North Dakota,30,29,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tamil,North Dakota,55,58,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tibetan,North Dakota,205,196,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Tagalog,Tagalog,North Dakota,451,186,151,102
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Indonesian,North Dakota,30,32,30,32
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Malay,North Dakota,75,104,55,88
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bisayan,North Dakota,10,10,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Chamorro,North Dakota,35,40,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Marshallese,North Dakota,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Trukese,North Dakota,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Hawaiian,North Dakota,,,,
ALL OTHER LANGUAGES,Navajo,Navajo,North Dakota,101,94,14,23
ALL OTHER LANGUAGES,Other Native North American languages,Yupik,North Dakota,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Blackfoot,North Dakota,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Cree,North Dakota,70,63,,
ALL OTHER LANGUAGES,Other Native North American languages,French Cree,North Dakota,25,35,,
ALL OTHER LANGUAGES,Other Native North American languages,Ojibwa,North Dakota,90,52,,
ALL OTHER LANGUAGES,Other Native North American languages,Ottawa,North Dakota,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Okanogan,North Dakota,60,89,45,66
ALL OTHER LANGUAGES,Other Native North American languages,Ingalit,North Dakota,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Apache,North Dakota,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Crow,North Dakota,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Hidatsa,North Dakota,390,92,20,22
ALL OTHER LANGUAGES,Other Native North American languages,Mandan,North Dakota,35,28,20,22
ALL OTHER LANGUAGES,Other Native North American languages,Dakota,North Dakota,685,135,25,14
ALL OTHER LANGUAGES,Other Native North American languages,Winnebago,North Dakota,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Omaha,North Dakota,10,9,,
ALL OTHER LANGUAGES,Other Native North American languages,Keres,North Dakota,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Arikara,North Dakota,145,66,40,27
ALL OTHER LANGUAGES,Other Native North American languages,Shoshoni,North Dakota,,,,
ALL OTHER LANGUAGES,Other Native North American languages,American Indian,North Dakota,200,111,20,19
ALL OTHER LANGUAGES,Other Native North American languages,Spokane,North Dakota,,,,
ALL OTHER LANGUAGES,Hungarian,Hungarian,North Dakota,94,92,24,27
ALL OTHER LANGUAGES,Arabic,Arabic,North Dakota,797,270,364,181
ALL OTHER LANGUAGES,Hebrew,Hebrew,North Dakota,38,37,7,10
ALL OTHER LANGUAGES,African languages,Amharic,North Dakota,60,52,20,28
ALL OTHER LANGUAGES,African languages,Chadic,North Dakota,10,15,,
ALL OTHER LANGUAGES,African languages,Cushite,North Dakota,835,331,685,316
ALL OTHER LANGUAGES,African languages,Sudanic,North Dakota,40,43,25,30
ALL OTHER LANGUAGES,African languages,Swahili,North Dakota,580,364,245,204
ALL OTHER LANGUAGES,African languages,Bantu,North Dakota,600,272,410,205
ALL OTHER LANGUAGES,African languages,Mande,North Dakota,110,129,45,55
ALL OTHER LANGUAGES,African languages,"Kru, Ibo, Yoruba",North Dakota,175,88,65,56
ALL OTHER LANGUAGES,African languages,African,North Dakota,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Finnish,North Dakota,65,36,15,8
ALL OTHER LANGUAGES,Other and unspecified languages,Caucasian,North Dakota,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Syriac,North Dakota,40,67,40,67
ALL OTHER LANGUAGES,Other and unspecified languages,Uncodable,North Dakota,65,46,,
ENGLISH,English,English,Ohio,10124056,6986,,
SPANISH AND SPANISH CREOLE,Spanish and Spanish Creole,Spanish,Ohio,241650,3332,90725,2189
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",French,Ohio,28005,1229,6940,738
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Patois,Ohio,345,190,60,46
OTHER INDO-EUROPEAN LANGUAGES,French Creole,French Creole,Ohio,1800,483,495,273
OTHER INDO-EUROPEAN LANGUAGES,Italian,Italian,Ohio,17966,1049,4803,510
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Portuguese,Ohio,3425,628,955,341
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Papia Mentae,Ohio,35,46,,
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),German,Ohio,54195,2271,14195,1087
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),Luxembourgian,Ohio,,,,
OTHER INDO-EUROPEAN LANGUAGES,Yiddish,Yiddish,Ohio,689,162,66,44
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Pennsylvania Dutch,Ohio,28705,2001,10900,1197
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Dutch,Ohio,12160,1355,4255,799
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Afrikaans,Ohio,355,146,40,33
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Swedish,Ohio,725,223,70,52
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Danish,Ohio,620,318,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Norwegian,Ohio,275,128,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Icelandic,Ohio,55,39,,
OTHER INDO-EUROPEAN LANGUAGES,Greek,Greek,Ohio,10122,790,2368,316
OTHER INDO-EUROPEAN LANGUAGES,Russian,Russian,Ohio,16917,1381,8416,808
OTHER INDO-EUROPEAN LANGUAGES,Polish,Polish,Ohio,9504,758,2575,347
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbocroatian,Ohio,2375,554,1080,292
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Croatian,Ohio,5205,612,1770,330
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbian,Ohio,5285,823,2025,371
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bielorussian,Ohio,55,144,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Ukrainian,Ohio,7835,996,3735,572
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Czech,Ohio,755,215,130,67
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovak,Ohio,2410,346,400,106
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bulgarian,Ohio,995,447,180,118
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Macedonian,Ohio,1800,423,580,201
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovene,Ohio,1840,298,560,150
OTHER INDO-EUROPEAN LANGUAGES,Armenian,Armenian,Ohio,482,184,155,74
OTHER INDO-EUROPEAN LANGUAGES,Persian,Persian,Ohio,3266,551,1152,315
OTHER INDO-EUROPEAN LANGUAGES,Hindi,Hindi,Ohio,16159,1475,2606,537
OTHER INDO-EUROPEAN LANGUAGES,Gujarati,Gujarati,Ohio,7727,893,2508,465
OTHER INDO-EUROPEAN LANGUAGES,Urdu,Urdu,Ohio,5132,678,1060,251
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,India,Ohio,1585,457,360,173
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bengali,Ohio,2660,514,620,187
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Panjabi,Ohio,4070,720,1560,432
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Marathi,Ohio,1625,423,355,204
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Oriya,Ohio,35,52,35,52
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Assamese,Ohio,55,59,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Kashmiri,Ohio,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Nepali,Ohio,2130,688,1640,589
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sindhi,Ohio,85,83,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Pakistan,Ohio,120,102,95,98
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sinhalese,Ohio,775,364,135,129
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Romany,Ohio,165,121,50,47
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Jamaican Creole,Ohio,320,184,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Krio,Ohio,450,247,100,115
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pidgin,Ohio,125,85,60,61
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Romanian,Ohio,6335,990,3055,566
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Welsh,Ohio,140,75,35,35
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Irish Gaelic,Ohio,850,255,105,57
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Scottic Gaelic,Ohio,35,37,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Albanian,Ohio,3280,814,1600,484
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Lithuanian,Ohio,1085,244,240,123
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Latvian,Ohio,670,178,80,50
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pashto,Ohio,145,108,65,87
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Kurdish,Ohio,145,134,70,67
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Chinese,Ohio,33190,1682,17035,1051
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Hakka,Ohio,95,127,95,127
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Cantonese,Ohio,1845,396,700,232
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Mandarin,Ohio,4935,622,2065,394
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Fuchow,Ohio,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Formosan,Ohio,985,332,480,187
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Wu,Ohio,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Japanese,Japanese,Ohio,9510,915,4619,580
ASIAN AND PACIFIC ISLAND LANGUAGES,Korean,Korean,Ohio,12560,1045,6007,634
ASIAN AND PACIFIC ISLAND LANGUAGES,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian",Ohio,3992,747,1988,468
ASIAN AND PACIFIC ISLAND LANGUAGES,Hmong,Hmong,Ohio,543,306,164,108
ASIAN AND PACIFIC ISLAND LANGUAGES,Thai,Thai,Ohio,2590,492,1261,298
ASIAN AND PACIFIC ISLAND LANGUAGES,Laotian,Laotian,Ohio,3287,659,1353,347
ASIAN AND PACIFIC ISLAND LANGUAGES,Vietnamese,Vietnamese,Ohio,11619,1012,6609,735
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Karachay,Ohio,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Uighur,Ohio,170,111,135,89
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Azerbaijani,Ohio,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkish,Ohio,2810,549,1030,234
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Mongolian,Ohio,75,71,35,46
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Dravidian,Ohio,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Telugu,Ohio,7490,1019,1585,395
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kannada,Ohio,1460,404,200,118
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Malayalam,Ohio,2220,503,475,200
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tamil,Ohio,6210,900,1115,356
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Munda,Ohio,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tibetan,Ohio,165,196,165,196
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Burmese,Ohio,615,250,415,180
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Karen,Ohio,430,295,390,263
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kachin,Ohio,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Mien,Ohio,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Tagalog,Tagalog,Ohio,10897,946,2958,372
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Indonesian,Ohio,715,302,235,106
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Balinese,Ohio,70,113,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Malagasy,Ohio,45,41,45,41
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Malay,Ohio,315,131,205,106
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bisayan,Ohio,270,146,140,108
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Sebuano,Ohio,360,198,160,101
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ilocano,Ohio,40,46,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Chamorro,Ohio,120,69,60,58
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Marshallese,Ohio,145,98,85,60
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ponapean,Ohio,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Yapese,Ohio,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Melanesian,Ohio,55,52,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Polynesian,Ohio,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Samoan,Ohio,115,84,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Fijian,Ohio,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Hawaiian,Ohio,90,75,,
ALL OTHER LANGUAGES,Navajo,Navajo,Ohio,59,79,,
ALL OTHER LANGUAGES,Other Native North American languages,Aleut,Ohio,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Yupik,Ohio,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Algonquian,Ohio,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Blackfoot,Ohio,25,30,,
ALL OTHER LANGUAGES,Other Native North American languages,Delaware,Ohio,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Ojibwa,Ohio,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Shawnee,Ohio,25,27,,
ALL OTHER LANGUAGES,Other Native North American languages,Quinault,Ohio,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Kuchin,Ohio,90,75,35,40
ALL OTHER LANGUAGES,Other Native North American languages,Apache,Ohio,30,32,,
ALL OTHER LANGUAGES,Other Native North American languages,Nez Perce,Ohio,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Pomo,Ohio,105,155,,
ALL OTHER LANGUAGES,Other Native North American languages,Yuma,Ohio,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Crow,Ohio,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Dakota,Ohio,75,41,,
ALL OTHER LANGUAGES,Other Native North American languages,Choctaw,Ohio,125,81,,
ALL OTHER LANGUAGES,Other Native North American languages,Koasati,Ohio,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Muskogee,Ohio,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Keres,Ohio,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Iroquois,Ohio,30,37,,
ALL OTHER LANGUAGES,Other Native North American languages,Mohawk,Ohio,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Cherokee,Ohio,250,117,25,20
ALL OTHER LANGUAGES,Other Native North American languages,Hopi,Ohio,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Tiwa,Ohio,,,,
ALL OTHER LANGUAGES,Other Native North American languages,American Indian,Ohio,80,48,45,45
ALL OTHER LANGUAGES,Hungarian,Hungarian,Ohio,7144,637,1794,250
ALL OTHER LANGUAGES,Arabic,Arabic,Ohio,34277,2528,11134,1143
ALL OTHER LANGUAGES,Hebrew,Hebrew,Ohio,2838,479,351,152
ALL OTHER LANGUAGES,African languages,Amharic,Ohio,4675,802,1735,330
ALL OTHER LANGUAGES,African languages,Berber,Ohio,55,51,,
ALL OTHER LANGUAGES,African languages,Chadic,Ohio,90,87,,
ALL OTHER LANGUAGES,African languages,Cushite,Ohio,13160,1409,5820,801
ALL OTHER LANGUAGES,African languages,Sudanic,Ohio,,,,
ALL OTHER LANGUAGES,African languages,Nilotic,Ohio,,,,
ALL OTHER LANGUAGES,African languages,Swahili,Ohio,2725,678,875,390
ALL OTHER LANGUAGES,African languages,Bantu,Ohio,2255,661,760,387
ALL OTHER LANGUAGES,African languages,Mande,Ohio,1330,486,500,217
ALL OTHER LANGUAGES,African languages,Fulani,Ohio,2595,608,1230,396
ALL OTHER LANGUAGES,African languages,Gur,Ohio,40,43,,
ALL OTHER LANGUAGES,African languages,"Kru, Ibo, Yoruba",Ohio,8640,1027,2060,406
ALL OTHER LANGUAGES,African languages,Efik,Ohio,110,92,,
ALL OTHER LANGUAGES,African languages,Mbum (and related),Ohio,,,,
ALL OTHER LANGUAGES,African languages,African,Ohio,185,117,60,47
ALL OTHER LANGUAGES,Other and unspecified languages,Finnish,Ohio,670,259,90,68
ALL OTHER LANGUAGES,Other and unspecified languages,Estonian,Ohio,335,187,105,78
ALL OTHER LANGUAGES,Other and unspecified languages,Lapp,Ohio,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Caucasian,Ohio,240,192,155,144
ALL OTHER LANGUAGES,Other and unspecified languages,Syriac,Ohio,80,94,,
ALL OTHER LANGUAGES,Other and unspecified languages,Mayan languages,Ohio,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Oto - Manguen,Ohio,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Quechua,Ohio,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Chibchan,Ohio,105,164,95,143
ALL OTHER LANGUAGES,Other and unspecified languages,Uncodable,Ohio,105,59,,
ENGLISH,English,English,Oklahoma,3190076,3056,,
SPANISH AND SPANISH CREOLE,Spanish and Spanish Creole,Spanish,Oklahoma,224325,2399,103860,2025
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",French,Oklahoma,5030,600,775,169
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Patois,Oklahoma,,,,
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Cajun,Oklahoma,55,40,,
OTHER INDO-EUROPEAN LANGUAGES,French Creole,French Creole,Oklahoma,339,135,47,42
OTHER INDO-EUROPEAN LANGUAGES,Italian,Italian,Oklahoma,1009,216,146,65
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Portuguese,Oklahoma,960,225,290,111
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),German,Oklahoma,10490,851,1605,325
OTHER INDO-EUROPEAN LANGUAGES,Yiddish,Yiddish,Oklahoma,48,36,8,13
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Pennsylvania Dutch,Oklahoma,110,80,40,55
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Dutch,Oklahoma,685,232,80,63
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Afrikaans,Oklahoma,125,58,,
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Frisian,Oklahoma,,,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Swedish,Oklahoma,130,94,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Danish,Oklahoma,35,30,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Norwegian,Oklahoma,105,65,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Icelandic,Oklahoma,20,18,,
OTHER INDO-EUROPEAN LANGUAGES,Greek,Greek,Oklahoma,698,218,52,43
OTHER INDO-EUROPEAN LANGUAGES,Russian,Russian,Oklahoma,1880,360,458,168
OTHER INDO-EUROPEAN LANGUAGES,Polish,Polish,Oklahoma,712,333,188,144
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbocroatian,Oklahoma,145,111,50,55
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Croatian,Oklahoma,60,42,,
